fold,population,householdsize,racepctblack,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,PctIlleg,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
1,0.19,0.33,0.02,0.32,0.2,1,0.37,0.72,0.34,0.6,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.68,0.23,0.41,0.25,0.52,0.68,0.4,0.14,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.06,0.22,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.46,0.25,0.04,0.45422192,0.12,0.42,0.5,0.51,0.64,0.17,0.06,0.18,0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,0.2
1,0.154588655,0.16,0.12,0.27,0.02,1,0.31,0.72,0.11,0.45,0.25,0.29,0.39,0.29,0.37,0.38,0.33,0.35,0.01,0.24,0.14,0.24,0.3,0.27,0.73,0.57,0.15,0.42,0.36,1,0.63,0.24,0.17,0.29,0.17,0.26,0.2,0.82,0.641559329,0.02,0.79,0.24,0.02,0.213397775,0.21,0.2,0.21,0.42,0.38,0.4,0.37,0.29,0.32,0.18,0.161360237,0.003515434,0.21,0.5,0.34,0.6,0.52,0.070424725,0.193033712,0.312922416,0.19181278,0.059232485,0.824724225,0.565263583,0.319965725,0.047226144,-0.203134206,0.095929174,-0.031485859,0.699075375,0.520257129,0.12,0.45,0.032019381,0.111361901,0.461460535,0.019888093,0.789755345,0.143613575,0.67
1,0.029580784,0.42,0.49,0.32,0.112189064,0.894928628,0.3,0.58,0.19,0.39,0.38,0.4,0.84,0.28,0.27,0.29,0.27,0.39,0.01,0.27,0.27,0.43,0.19,0.36,0.58,0.32,0.29,0.49,0.32,0.63,0.41,0.46,0.46,0.52,0.43,0.42,0.15,0.51,0.5,0.01,0.86,0.41,0.29,0.45,0.18,0.17,0.16,0.27,0.29,0.27,0.31,0.48,0.39,0.28,-0.163381443,0.234379676,0.14,0.49,0.54,0.67,0.56,0.486346818,-0.005983126,0.304999317,0.086431594,0.142476194,0.635179472,0.592581953,0.544529091,0.254616582,-0.330515743,0.440001809,0.277190796,0.266936458,0.551126829,0.21,0.02,0.295172023,0.117281507,0.540364584,0.686274986,0.817644724,0.112746459,0.43
1,0.04,0.77,1,0.21,0.06,1,0.58,0.89,0.21,0.43,0.36,0.2,0.82,0.51,0.36,0.4,0.39,0.44,0.01,0.1,0.09,0.25,0.31,0.33,0.71,0.36,0.45,0.37,0.39,0.34,0.45,0.33,0.85,0.77,1,0.94,0.12,0.01,0.5,0.01,0.97,0.96,0.6,0.11,0.24,0.21,0.19,0.75,0.7,0.77,0.89,0.63,0.51,0.47,0.184450574,0.306568355,0.19,0.3,0.73,0.64,0.65,0.459234945,-0.235495835,0.036352616,0.2815986,0.015030645,0.439371691,0.763226369,0.160174554,-0.090021054,0.506978931,0.343874452,0.138788335,0.312220637,0.323090722,0.39,0.28,0.162277867,0.164974542,0.691591818,0.410442281,0.200250744,0.060933516,0.12
1,0.01,0.55,0.02,0.36,0.02,0.9,0.5,0.72,0.16,0.68,0.44,0.11,0.71,0.46,0.43,0.41,0.28,0.48,0.00752305,0.06,0.25,0.3,0.33,0.12,0.65,0.67,0.38,0.42,0.46,0.22,0.27,0.06,0.59,0.6,0.37,0.89,0.02,0.19,0.5,0.01,0.89,0.87,0.04,0.14,0.31,0.31,0.3,0.4,0.36,0.38,0.38,0.22,0.51,0.21,0.286347171,0.502996574,0.11,0.72,0.64,0.61,0.53,-0.014963342,-0.125120071,0.399033027,0.424445086,0.342294512,0.749452133,0.777590105,0.437149677,0.155949347,0.412859406,0.216581788,0.353715459,0.244988266,0.221549831,0.09,0.02,0.39977617,-0.050484689,0.431310926,0.009430105,0.642836236,0.193916443,0.03
1,0.02,0.28,0.06,0.37,0.04,1,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.19,0.77,0.06,0.91,0.49,0.57,0.11,0.29,0.53,0.18,0.39,0.26,0.73,0.611421233,0.02,0.84,0.3,0.16,0.05,0.94,1,1,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0.051088413,0.28839107,0.7,0.42,0.49,0.73,0.64,0.493737019,-0.01666279,0.279327615,0.186758953,0.361642796,0.624185171,0.569330772,0.236507996,-0.081523903,-0.122260815,-0.134167298,0.090899912,0.611381978,-0.173737033,0.58,0.1,0.117287769,0.415954627,0.773390649,0.243691665,0.722511815,0.129692107,0.14
1,0.01,0.39,0.346696509,0.6,0.02,0.81,0.42,0.5,0.23,0.68,0.61,0.21,0.54,0.43,0.47,0.44,0.4,0.36,0.01,0.11,0.29,0.41,0.36,0.28,0.54,0.44,0.53,0.33,0.49,0.25,0.34,0.13,0.42,0.54,0.24,0.65,0.03,0.46,0.5,0.01,0.89,0.57,0.09,0.05,0.37,0.38,0.39,0.26,0.35,0.42,0.35,0.46,0.44,0.31,-0.00681532,0.157141147,0.15,0.81,0.77,0.91,0.84,0.010423012,-0.017165338,0.131924805,0.494982897,0.205436945,0.311391586,0.690918312,0.361246112,0.503875634,0.147449117,0.281757743,-0.097046825,0.435964805,-0.093994693,0.08,0.06,-0.014480285,0.019135654,0.719927448,-0.182571164,1.052802361,0.144133121,0.03
1,0.01,0.74,0.03,0.35,0.219338198,0.946446865,0.16,0.44,1,0.23,0.53,0.97,0.41,0.15,0.1,0.12,0.08,0.21,0.03,0.64,0.96,0.82,0.12,1,0.26,0.43,0.34,0.71,0.18,0.38,0.47,0.5,0.8,0.68,0.92,0.39,0.89,0.66,0.643436961,0.01,0.91,0.46,0.22,0.23,0.15,0.13,0.13,0.21,0.24,0.25,0.24,0.64,0.59,0.28,0.007334856,0.383442346,0.59,0.58,0.52,0.79,0.78,0.298048981,0.235047621,0.443473721,0.147611379,0.414397075,0.727740527,0.58657898,0.259754856,0.24180175,0.140729292,0.007545124,0.043066644,0.501110627,0.328212661,0.33,-0.222352461,0.433189483,0.209352726,0.988010653,0.529939553,0.526394671,0.421419611,0.55
1,0.03,0.34,0.2,0.48,0.04,1,0.17,0.47,0.36,0.34,0.55,0.48,0.43,0.21,0.23,0.23,0.19,0.22,0.04,0.45,0.52,0.59,0.17,0.55,0.43,0.59,0.36,0.64,0.29,0.62,0.26,0.29,0.35,0.38,0.33,0.5,0.1,0.64,0.579087638,0.04,0.72,0.49,0.05,0.22,0.07,0.07,0.08,0.14,0.17,0.16,0.15,0.38,0.13,0.36,0.01,0.229993557,0.01,0.78,0.48,0.79,0.75,0.432699031,0.135243179,0.141563511,0.522822049,0.104677972,0.716538554,0.487130222,0.323570054,-0.060612304,0.251389536,0.316793219,0.026771799,0.76097528,0.148989188,0.17,0.04,0.194748994,-0.011930815,0.639335513,0.853008328,0.964362996,0.1498985,0.53
1,0.01,0.4,0.06,0.39,0.02,1,0.54,0.59,0.22,0.86,0.42,0.02,0.31,0.85,0.89,0.94,0.11,0.8,0.171994372,0.11,0.04,0.03,1,0.11,0.44,0.2,1,0.02,0.96,0.3,0.85,0.07,0.15,0.34,0.05,0.48,0.03,0.58,0.52876553,0.02,0.72,0.38,0.07,0.166203435,0.63,0.71,0.79,0.44,0.42,0.47,0.41,0.23,0.27,0.28,0.119707444,-0.012160525,0.22,0.42,0.34,0.23,0.09,0.175014282,0.087141329,0.004106434,0.205552081,0.344929631,0.378368097,0.719989332,0.436979939,0.468810876,0.128314951,0.095386889,-0.12804327,0.969671137,0.218389097,0.47,0.11,0.605024191,0.21989531,0.720662169,0.796025386,0.683168035,0.564204502,0.15
1,0.13,0.71,0.15,0.33,0.15,1,0.49,0.71,0.16,0.47,0.36,0.4,0.45,0.47,0.33,0.37,0.4,0.38,0.06,0.18,0.33,0.36,0.38,0.32,0.62,0.2,0.29,0.35,0.3,0.41,0.55,0.3,0.77,0.79,0.72,0.49,0.91,0.63,0.544243278,0.06,0.87,0.49,0.1,0.28,0.75,0.74,0.7,0.73,0.67,0.82,0.67,0.58,0.67,0.19,0.07,0.14,1,0.35,0.53,0.39,0.62,0.131652547,-0.021766803,0.361518777,0.191746518,0.321937904,0.456705695,0.982932735,-0.140497656,-0.013406954,0.280493332,0.200945839,-0.032375466,0.315023133,0.062078386,1,1,-0.215848924,-0.038029504,0.700556061,1.134327639,0.472954287,0.450136961,0.24
