fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
1.0,0.19,0.33,0.02,0.9,0.12,0.17,0.34,0.47,0.29,0.32,0.2,1.0,0.37,0.72,0.34,0.6,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.27,0.27,0.36,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.68,0.23,0.41,0.25,0.52,0.68,0.4,0.75,0.75,0.35,0.55,0.59,0.61,0.56,0.74,0.76,0.04,0.14,0.03,0.24,0.27,0.37,0.39,0.07,0.07,0.08,0.08,0.89,0.06,0.14,0.13,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.26,0.65,0.14,0.06,0.22,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.46,0.25,0.04,0.45422191972221587,0.12,0.42,0.5,0.51,0.64,0.03,0.13,0.96,0.17,0.06,0.18,0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.12,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,0.2
1.0,0.15458865539098576,0.16,0.12,0.74,0.45,0.07,0.26,0.59,0.35,0.27,0.02,1.0,0.31,0.72,0.11,0.45,0.25,0.29,0.39,0.29,0.37,0.38,0.33,0.16,0.3,0.22,0.35,0.01,0.24,0.14,0.24,0.3,0.27,0.73,0.57,0.15,0.42,0.36,1.0,0.63,0.91,1.0,0.29,0.43,0.47,0.6,0.39,0.46,0.53,0.06301260626421151,0.24,0.01,0.52,0.62,0.64,0.63,0.25,0.27,0.25,0.23,0.84,0.1,0.16,0.1,0.17,0.29,0.17,0.26,0.2,0.82,0.641559328527894,0.02,0.79,0.24,0.02,0.25,0.65,0.16,0.21339777518160166,0.21,0.2,0.21,0.42,0.38,0.4,0.37,0.29,0.32,0.18,0.1613602373855088,0.0035154343158307483,0.21,0.5,0.34,0.6,0.52,0.16916563953081024,0.22607091679605779,0.9893746792134678,0.07042472479396739,0.1930337117513919,0.3129224156855471,0.19181277956159795,0.05923248533130365,0.8247242251607936,0.5652635832306051,0.31996572546119595,0.0472261439470706,-0.20313420647304364,0.0959291739695132,-0.03148585931454306,0.6990753751625135,0.5202571294159832,0.02,0.12,0.45,0.03201938079307046,0.11136190138365476,0.4614605352566108,0.019888092745451835,0.7897553445272827,0.14361357486004442,0.67
1.0,0.029580783964990677,0.42,0.49,0.56,0.17,0.04,0.39,0.47,0.28,0.32,0.11218906425644559,0.894928627604478,0.3,0.58,0.19,0.39,0.38,0.4,0.84,0.28,0.27,0.29,0.27,0.07,0.29,0.28,0.39,0.01,0.27,0.27,0.43,0.19,0.36,0.58,0.32,0.29,0.49,0.32,0.63,0.41,0.71,0.7,0.45,0.42,0.44,0.43,0.43,0.71,0.67,0.01,0.46,0.00908815872793424,0.07,0.06,0.15,0.19,0.02,0.02,0.04,0.05,0.88,0.04,0.2,0.2,0.46,0.52,0.43,0.42,0.15,0.51,0.5,0.01,0.86,0.41,0.29,0.3,0.52,0.47,0.45,0.18,0.17,0.16,0.27,0.29,0.27,0.31,0.48,0.39,0.28,-0.16338144341536803,0.23437967616827787,0.14,0.49,0.54,0.67,0.56,-0.057713999755050635,-0.011724090310159752,0.9958317835981058,0.48634681817506675,-0.005983125937961478,0.30499931651606527,0.08643159433734526,0.1424761943189311,0.6351794722870832,0.5925819534986204,0.5445290909354684,0.25461658240153867,-0.3305157430617452,0.44000180909725983,0.27719079558738297,0.2669364582679712,0.5511268292944441,0.01,0.21,0.02,0.29517202278458354,0.1172815074846944,0.5403645836942442,0.6862749861571354,0.8176447240773944,0.11274645885810629,0.43
1.0,0.04,0.77,1.0,0.08,0.12,0.1,0.51,0.5,0.34,0.21,0.06,1.0,0.58,0.89,0.21,0.43,0.36,0.2,0.82,0.51,0.36,0.4,0.39,0.16,0.25,0.36,0.44,0.01,0.1,0.09,0.25,0.31,0.33,0.71,0.36,0.45,0.37,0.39,0.34,0.45,0.49,0.44,0.75,0.65,0.54,0.83,0.65,0.85,0.86,0.03,0.33,0.02,0.11,0.2,0.3,0.31,0.05,0.08,0.11,0.11,0.81,0.08,0.56,0.62,0.85,0.77,1.0,0.94,0.12,0.01,0.5,0.01,0.97,0.96,0.6,0.47,0.52,0.11,0.11,0.24,0.21,0.19,0.75,0.7,0.77,0.89,0.63,0.51,0.47,0.18445057437113135,0.3065683550491044,0.19,0.3,0.73,0.64,0.65,0.022801039723206684,0.12656806904247894,0.9038200642662201,0.4592349448911183,-0.2354958350523568,0.03635261641134149,0.2815985998911052,0.01503064468050111,0.43937169065374937,0.7632263686150897,0.1601745544390126,-0.09002105442509631,0.5069789313410725,0.34387445221413415,0.13878833503476679,0.3122206369565471,0.3230907221749046,0.02,0.39,0.28,0.16227786723375934,0.16497454227375502,0.6915918179393244,0.4104422807941587,0.20025074401226423,0.0609335160785521,0.12
1.0,0.01,0.55,0.02,0.95,0.09,0.05,0.38,0.38,0.23,0.36,0.02,0.9,0.5,0.72,0.16,0.68,0.44,0.11,0.71,0.46,0.43,0.41,0.28,0.1395594226199109,0.74,0.51,0.48,0.007523049511508381,0.06,0.25,0.3,0.33,0.12,0.65,0.67,0.38,0.42,0.46,0.22,0.27,0.2,0.21,0.51,0.91,0.91,0.89,0.85,0.4,0.6,0.12524493305342282,0.06,-0.006798788493972918,0.03,0.07,0.2,0.27,0.01,0.02,0.04,0.05,0.88,0.05,0.16,0.19,0.59,0.6,0.37,0.89,0.02,0.19,0.5,0.01,0.89,0.87,0.04,0.55,0.73,0.05,0.14,0.31,0.31,0.3,0.4,0.36,0.38,0.38,0.22,0.51,0.21,0.28634717067251014,0.5029965738076312,0.11,0.72,0.64,0.61,0.53,0.030805982364718036,0.14138680278657,0.9262341338935034,-0.01496334242388625,-0.1251200705368749,0.3990330271709097,0.42444508584697765,0.34229451222904167,0.7494521328235837,0.777590104869027,0.437149676806348,0.15594934671584598,0.4128594059016018,0.21658178760726407,0.35371545908080315,0.24498826567346493,0.22154983091849684,0.04,0.09,0.02,0.3997761699305826,-0.050484689476343936,0.4313109263071565,0.009430105190645688,0.6428362361908208,0.1939164434973841,0.03
1.0,0.02,0.28,0.06,0.54,1.0,0.25,0.31,0.48,0.27,0.37,0.04,1.0,0.52,0.68,0.2,0.61,0.28,0.15,0.25,0.62,0.72,0.76,0.77,0.28,0.52,0.48,0.6,0.01,0.12,0.13,0.12,0.8,0.1,0.65,0.19,0.77,0.06,0.91,0.49,0.57,0.61,0.58,0.44,0.62,0.69,0.87,0.53,0.3,0.43,-0.04762797625395112,0.11,0.04,0.3,0.35,0.43,0.47,0.5,0.5,0.56,0.57,0.45,0.28,0.25,0.19,0.29,0.53,0.18,0.39,0.26,0.73,0.6114212333803353,0.02,0.84,0.3,0.16,0.28,0.25,0.02,0.05,0.94,1.0,1.0,0.67,0.63,0.68,0.62,0.47,0.59,0.11,0.05108841291146277,0.28839106995769664,0.7,0.42,0.49,0.73,0.64,0.293670456349481,0.5078539806711599,0.620334848096234,0.4937370192124054,-0.016662790047428253,0.2793276150394673,0.1867589533133122,0.361642796472496,0.6241851712356523,0.5693307716845769,0.23650799608064582,-0.08152390338292428,-0.1222608149500361,-0.13416729809422212,0.09089991234782664,0.6113819777573726,-0.1737370329486681,0.01,0.58,0.1,0.11728776899963242,0.41595462650486,0.7733906485499169,0.2436916645108763,0.7225118148027504,0.12969210709134998,0.14
1.0,0.01,0.39,0.34669650873513397,0.98,0.06,0.02,0.3,0.37,0.23,0.6,0.02,0.81,0.42,0.5,0.23,0.68,0.61,0.21,0.54,0.43,0.47,0.44,0.4,0.24,0.86,0.24,0.36,0.01,0.11,0.29,0.41,0.36,0.28,0.54,0.44,0.53,0.33,0.49,0.25,0.34,0.28,0.28,0.42,0.77,0.81,0.79,0.74,0.57,0.62,0.07522479288504014,0.13,0.01,0.8638354227614267,0.02,0.02,0.1,-0.34662568770015134,0.01,0.01,0.03,0.73,0.05,0.12,0.13,0.42,0.54,0.24,0.65,0.03,0.46,0.5,0.01,0.89,0.57,0.09,0.49,0.38,0.05,0.05,0.37,0.38,0.39,0.26,0.35,0.42,0.35,0.46,0.44,0.31,-0.006815320440897901,0.1571411472461597,0.15,0.81,0.77,0.91,0.84,-0.07391505701098082,0.2847185953273246,1.0667165671740224,0.010423011859239578,-0.017165338086580578,0.13192480515312718,0.4949828972672793,0.2054369454670664,0.31139158559649743,0.6909183121427971,0.3612461123701434,0.503875634195377,0.14744911692378676,0.2817577427303771,-0.09704682531785937,0.435964804885827,-0.0939946929946257,0.05,0.08,0.06,-0.014480284746882705,0.019135654047423845,0.7199274484739335,-0.1825711641159934,1.052802360708901,0.14413312148723517,0.03
1.0,0.01,0.74,0.03,0.46,0.2,1.0,0.52,0.55,0.36,0.35,0.21933819779496694,0.9464468646847268,0.16,0.44,1.0,0.23,0.53,0.97,0.41,0.15,0.1,0.12,0.08,0.17,0.27,0.18,0.21,0.03,0.64,0.96,0.82,0.12,1.0,0.26,0.43,0.34,0.71,0.18,0.38,0.47,0.59,0.52,0.78,0.45,0.43,0.34,0.34,0.29,0.27,0.02,0.5,0.02,0.5,0.59,0.65,0.59,0.69,0.72,0.71,0.6,0.12,0.93,0.74,0.75,0.8,0.68,0.92,0.39,0.89,0.66,0.6434369607327853,0.01,0.91,0.46,0.22,0.37,0.6,0.28,0.23,0.15,0.13,0.13,0.21,0.24,0.25,0.24,0.64,0.59,0.28,0.007334855629133413,0.3834423455761226,0.59,0.58,0.52,0.79,0.78,-0.09483550781879717,0.3036902572282165,0.8056678902846706,0.298048980585047,0.23504762116790512,0.4434737209128835,0.14761137941671315,0.4143970752892504,0.7277405271949822,0.5865789799893167,0.25975485581828395,0.2418017498160857,0.14072929157174074,0.007545124017285132,0.04306664416788174,0.5011106270667983,0.3282126614923755,0.01,0.33,-0.22235246115948834,0.4331894833582769,0.20935272640925648,0.9880106526623001,0.5299395530323339,0.5263946707290589,0.4214196106552939,0.55
1.0,0.03,0.34,0.2,0.84,0.02,0.09666050813615043,0.38,0.45,0.28,0.48,0.04,1.0,0.17,0.47,0.36,0.34,0.55,0.48,0.43,0.21,0.23,0.23,0.19,0.1,0.26,0.29,0.22,0.04,0.45,0.52,0.59,0.17,0.55,0.43,0.59,0.36,0.64,0.29,0.62,0.26,0.66,0.67,0.37,0.51,0.55,0.58,0.47,0.65,0.64,0.02,0.29,0.04353214078880018,0.12,0.09,0.07,0.13,0.02879079538436613,0.2984734389786969,0.2792694838080825,-0.04818520507874843,0.99,0.01,0.12,0.12,0.35,0.38,0.33,0.5,0.1,0.64,0.5790876379372152,0.04,0.72,0.49,0.05,0.49,0.5,0.57,0.22,0.07,0.07,0.08,0.14,0.17,0.16,0.15,0.38,0.13,0.36,0.01,0.22999355714055325,0.01,0.78,0.48,0.79,0.75,0.0469674884823817,0.22662106865450732,0.9476547309841433,0.4326990313322683,0.13524317857408086,0.1415635105333644,0.5228220488417761,0.10467797233097033,0.7165385538875634,0.48713022218124824,0.3235700540372039,-0.06061230357059355,0.2513895363808947,0.31679321880685235,0.026771799175039822,0.7609752803560677,0.148989188050438,0.04,0.17,0.04,0.19474899353875025,-0.01193081535273724,0.639335512862562,0.8530083279314266,0.9643629956772805,0.14989850048585357,0.53
1.0,0.01,0.4,0.06,0.87,0.3,0.03,0.9,0.82,0.8,0.39,0.02,1.0,0.54,0.59,0.22,0.86,0.42,0.02,0.31,0.85,0.89,0.94,0.11,0.09,0.33,0.17,0.8,0.17199437202142698,0.11,0.04,0.03,1.0,0.11,0.44,0.2,1.0,0.02,0.96,0.3,0.85,0.39,0.36,0.31,0.65,0.73,0.78,0.67,0.72,0.71,-0.03226099605573616,0.07,0.01,0.41,0.44,0.52,0.48,0.22,0.21,0.22,0.19,0.85,0.03,0.09,0.06,0.15,0.34,0.05,0.48,0.03,0.58,0.528765530205236,0.02,0.72,0.38,0.07,0.47,0.04,0.01,0.16620343528192505,0.63,0.71,0.79,0.44,0.42,0.47,0.41,0.23,0.27,0.28,0.11970744367137012,-0.012160524520388322,0.22,0.42,0.34,0.23,0.09,0.12438554704069348,0.14503052529066796,0.8771691993742922,0.17501428191100532,0.08714132906480582,0.004106433990581665,0.20555208053459212,0.34492963081674366,0.37836809651494174,0.7199893319777279,0.4369799391926892,0.468810876142813,0.1283149507392195,0.09538688909711612,-0.12804327034039859,0.9696711366693058,0.218389097253257,0.24507742420177397,0.47,0.11,0.605024190679374,0.21989530973568958,0.720662168775135,0.7960253855945373,0.6831680352496426,0.5642045021025465,0.15
