fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
7.0,0.056741135144536416,0.6,0.01,0.97,0.06,0.02,0.37,0.4,0.24,0.31,0.14288176671573577,0.17,0.55,0.78,0.94,0.72,0.36,0.13,0.4,0.5,0.41,0.39,0.09,0.17710357415255965,0.67,0.12,0.19,0.024158691631344903,0.07,0.16,0.27,0.37,0.05,0.71,0.6,0.29,0.5,0.37,0.23,0.27,0.2,0.22,0.56,0.86,0.88,0.84,0.78,0.42,0.44,-0.003827883302356075,0.03,0.003109415324288982,0.28,0.21,0.36,0.4,0.06,0.04,0.06,0.06,0.92,0.03,0.23,0.27,0.66,0.65,0.52,0.84,0.05,0.18,0.5,0.22500131000189805,0.93,0.83,0.01182307549263556,0.4,0.63,0.03,0.20341270708692918,0.35,0.39,0.38,0.41,0.43,0.49,0.46,0.38,0.51,0.26,-0.01568972367125375,-0.11663172946421058,0.09,0.86,0.76,0.68,0.83,-0.03302752414537444,0.2737255381439045,0.8108643084151306,0.20854729955417942,0.22072064204066957,0.08259416175756959,0.07089689546657774,0.2901270162310873,0.845465932948858,0.6756141819064815,0.1984710909036624,-0.05618052503944038,0.4190408069305674,0.4082793349679256,0.1572166900927191,0.4747960080459394,0.39350125570093175,0.08,0.03,0.03,0.3794829023991996,0.28906059421627583,0.6679669577898198,0.6034828993987095,0.42577405951881625,-0.04008944665186162,0.02
7.0,0.02,0.43,0.05,0.95,0.04,0.01,0.87,0.71,0.74,0.51,-0.0186658003460292,0.8988620951647646,0.12,0.39,0.62,0.4,0.61,0.39,0.45,0.19,0.17,0.16,0.18,0.24,0.12,0.14,0.19,0.03,0.55,0.39,0.48,0.2,0.58,0.26,0.19,0.65,0.46,0.33,0.42,0.72,0.55,0.51,0.37,0.54,0.58,0.68,0.4,0.72,0.66,0.2918719390489256,0.12,0.016304585625564624,1.0,0.98,0.83,0.71,0.08,0.06,0.05,0.04,0.96,0.02,0.16,0.13,0.29,0.35,0.24,0.54,0.07,0.64,0.5676870865313765,0.04,0.59,0.51,0.2,0.34,0.27,0.68,0.34,0.05,0.04,0.05,0.1,0.14,0.14,0.14,0.67,0.23,0.44,0.01,-0.10506245880412746,0.02,0.82,0.49,0.57,0.8,0.09974969674143223,0.4511968083543649,0.6012942117913801,0.30423135768870585,0.23442687716997954,0.09557713174608559,0.5357880406522543,0.15710385439588062,1.1544026431787844,0.21053197722860495,0.16320559142891727,0.6633887699121239,0.1637034801988284,0.6193637453688001,0.026938602423148057,0.8443917474170612,0.8505607388552869,0.02,0.26,0.03,-0.33086813936296466,-0.036859631811468216,0.8063972665631325,0.22021621682304496,0.6261675382293804,0.2126461795359406,0.06
7.0,0.18,0.34,0.57,0.52,0.11,0.05,0.84,0.91,0.9,0.26,0.2,1.0,0.2,0.73,0.22,0.42,0.27,0.21,0.32,0.31,0.28,0.35,0.2,0.2,0.23,0.25,0.32,0.23,0.59,0.19,0.23,0.66,0.33,0.54,0.04,0.69,0.15,0.63,0.47,0.87,0.54,0.53,0.35,0.36,0.38,0.46,0.33,0.75,0.79,0.12,0.64,0.04,0.58,0.57,0.62,0.63,0.18,0.16,0.16,0.14,0.89,0.05,0.16,0.11,0.27,0.36,0.25,0.34,0.19,0.65,0.4608434022637016,0.25,0.65,0.32,0.17,0.19,0.73,0.2,0.16,0.13,0.14,0.15,0.25,0.28,0.33,0.31,0.77,0.34,0.37,0.09,0.07,0.13,0.47,0.25,0.26,0.45,0.05,0.2,0.94,0.26,0.14,0.4,0.67,0.2,0.74,0.55,0.46,0.04,0.0,0.35,0.07,0.43,0.28,0.18,0.16,0.16,0.23,0.06,0.9,0.5,0.68,0.18,0.82
7.0,0.01,0.59,0.09,0.88,0.18,0.05,0.69,0.67,0.65,0.42,0.03,1.0,0.74,0.65,0.2,0.86,0.44,0.08,0.56,0.76,0.81,0.83,0.36,0.03,0.32,0.3,0.38,-0.06046494051179738,0.08,0.21,0.19,0.81,0.17,0.51,0.22,0.59,0.14,0.76,0.17,0.66,0.22,0.21,0.4,0.8,0.8,0.89,0.69,0.31,0.31,0.09719320553742856,0.09,0.01,0.27,0.36,0.45,0.47,0.2,0.23,0.26,0.26,0.77,0.15,0.14,0.15,0.41,0.49,0.27,0.65,0.07,0.38,0.5,0.01,0.91,0.6,0.09,0.4,0.25,0.03,0.14,0.68,0.67,0.73,0.7,0.75,0.89,0.74,0.4,0.49,0.44,0.01,-0.18667999752658287,0.31,0.49,0.52,0.45,0.49,0.14901622774095252,0.3019054269209189,0.8557777626423735,0.3100209206936595,0.24300670839386596,0.24225828647149267,0.38138109009550525,0.3976003152155858,0.6209921913941626,0.8329051694660008,0.5543108970931052,0.21498110589115815,0.264335987702046,0.594527922975896,-0.057322527234901485,0.4012109856532861,0.5159418099260232,0.01,0.32,0.4,0.1163060785521611,-0.16220647534397495,0.3130141271283306,0.4496075465160562,0.7627928140675688,-0.08544700479967876,0.02
7.0,0.03,0.33,0.01,0.92,0.13,0.04,0.39,0.41,0.26,0.5,0.05,1.0,0.23,0.37,0.18,0.48,0.54,0.58,0.57,0.27,0.27,0.26,0.13,0.14,0.27,0.14,0.16,0.04,0.42,0.25,0.37,0.19,0.48,0.36,0.66,0.37,0.61,0.31,0.73,0.28,0.66,0.72,0.37,0.51,0.53,0.4,0.64,0.24,0.32,0.01,0.19,0.01,0.11,0.22,0.34,0.38,0.03,0.05,0.07,0.07,0.92,0.04,0.16,0.14,0.34,0.38,0.32,0.49,0.15,0.57,0.5529386217053275,0.03,0.85,0.48,0.38,0.34,0.4,0.29,0.3,0.11,0.1,0.1,0.21,0.23,0.24,0.2,0.49,0.03,0.11,0.07,0.16789153648454944,0.1,0.48,0.51,0.68,0.63,-0.15726687923587845,0.3068472742296964,0.8047162583848505,0.03668760730719209,-0.1289150498788499,0.16099358782937115,0.31628690269341087,0.4897946628753834,0.37130552327795013,0.6978865734059965,0.10207164661057931,0.0854112545868542,0.23797459187351713,0.75665126159252,0.0050457587881527766,0.673015337776783,0.2513363398975856,0.03,0.22,0.02,0.3964935120034963,-0.08168309325171527,0.9099570358261557,0.588806390899013,0.3059394762872716,-0.10021639728119708,0.14
7.0,0.01,0.53,0.01,0.98,0.06,0.01,0.36,0.32,0.2,0.45,0.03,1.0,0.68,0.61,0.28,0.76,0.5,0.12,0.47,0.67,0.68,0.66,0.34,0.22,0.81,0.23,0.55,-0.02214675412170744,0.03,0.09,0.17,0.76,0.21,0.56,0.33,0.76,0.12,0.8,0.15,0.3,0.23,0.2,0.49,0.9,0.92,0.93,0.83,0.31,0.36,0.06257247760789714,-0.017786540713303545,0.05665131504980766,0.34,0.29,0.32,0.41,0.11,0.08,0.08,0.09,0.88,0.03,0.1,0.13,0.55,0.54,0.39,0.92,0.02,0.17,0.5,0.01,0.88,0.9,0.14,0.7,0.27,0.01,0.12,0.45,0.49,0.56,0.48,0.53,0.73,0.6,0.44,0.55,0.53,-0.09143154191610417,-0.028102782847598734,0.13,0.5,0.78,0.63,0.61,0.13001922216553075,0.23335983746925587,1.1384131851317512,0.34902695815324913,0.1711219127005672,0.33373221014835,0.36261164669876805,0.4740789967956517,0.6465760480037859,0.9942581256702778,0.005241608573438972,0.4051779922110632,0.008448660503616909,0.20469109161909982,0.20425545014547491,0.3400686800394803,0.25444210102654596,0.02,0.16,0.14,0.35423060957984487,-0.1898116646285613,0.5002957481370484,0.09530402417425915,0.3323137974277771,0.006847877391376267,0.03
7.0,0.05,0.41,0.07,0.9,0.11,0.78,0.55,0.53,0.52,0.58,0.06,1.0,0.59,0.57,0.33,0.68,0.52,0.17,0.4,0.74,0.89,0.9,0.19,0.59,0.32,0.53,0.99,0.02,0.16,0.16,0.15,0.81,0.21,0.46,0.09,0.83,0.03,0.86,0.39,0.65,0.53,0.49,0.35,0.73,0.72,0.79,0.66,0.28,0.3,0.01,0.09,0.1,0.27,0.29,0.3,0.33,0.67,0.63,0.6,0.6,0.16,0.45,0.2,0.17,0.31,0.41,0.16,0.63,0.29,0.56,0.683976184935153,0.06,0.74,0.56,0.19,0.35,0.35,0.07,0.02,0.49,0.59,0.76,0.46,0.43,0.52,0.43,0.54,0.51,0.44,0.02022793365534209,0.21595382796769916,1.0,0.15,0.43,0.54,0.35,0.02,0.31,0.97,0.36,0.02,0.18,0.19,0.31,1.0,0.69,0.06,0.46,0.0,0.34,0.03,0.14,0.3,0.03,0.28,0.17,0.06,0.03,0.7,1.0,0.62,0.35,0.4
7.0,0.01,0.58,0.03,0.94,0.11,0.06,0.38,0.49,0.26,0.17,0.02,1.0,0.6,0.83,0.4,0.57,0.23,0.13,0.33,0.56,0.43,0.42,0.35,0.2537282685151573,0.3,0.55,0.5,0.18718674134538532,0.07,0.14,0.22,0.32,0.25,0.78,0.45,0.23,0.35,0.39,0.27,0.38,0.27,0.27,0.6,0.87,0.89,0.92,0.79,0.36,0.52,0.09251690023446471,0.1,0.01,0.19,0.19,0.2,0.31,0.08,0.07,0.07,0.1,0.86,0.04,0.24,0.25,0.64,0.62,0.52,0.9,0.07,0.38,0.5,0.04,0.42,0.9,0.25,0.73,0.46,0.11,-0.06935127962698207,0.37,0.35,0.31,0.65,0.67,0.8,0.85,0.63,0.79,0.76,0.07347032140627135,0.1771593676969424,0.18,0.65,0.68,0.48,0.84,0.18429147931660933,0.20451969218609342,0.8911507664654233,0.33589772311817395,0.2915615997156056,0.10352511709695898,0.01692164136284019,-0.009669526754883223,0.8338089597120576,0.44122862418467507,0.3501037188849778,0.5492663645742308,0.0840526765874949,0.17468420589203426,0.03378893581789507,0.5146137368917478,0.05423397325918944,0.03,0.12,0.1,0.6388648331382292,0.28541142851341245,0.49715838955500646,0.34153976934379376,0.29483848734621687,-0.19577705054411804,0.05
7.0,0.02,0.45,0.01,0.92,0.17,0.04,0.4,0.45,0.26,0.38,0.04,1.0,0.35,0.57,0.21,0.52,0.46,0.33,0.51,0.37,0.29,0.28,0.28,0.14,0.24,0.32,0.24,0.01,0.17,0.21,0.27,0.27,0.33,0.49,0.53,0.38,0.43,0.38,0.59,0.3,0.59,0.61,0.49,0.67,0.71,0.78,0.62,0.4,0.47,0.18621518930529962,0.09,0.01,0.2,0.25,0.23,0.28,0.06,0.07,0.05,0.06,0.91,0.05,0.19,0.18,0.45,0.57,0.31,0.57,0.12,0.5,0.5,0.02,0.83,0.51,0.14,0.22,0.67,0.16,0.15,0.18,0.18,0.19,0.34,0.33,0.35,0.34,0.46,0.46,0.29,0.19190063677190203,0.2654536820554747,0.12,0.5,0.39,0.61,0.61,-0.24191045511179177,0.32610531475501514,0.8881046067537126,0.36753174309106507,0.1411420371297806,0.24827254909946206,0.19932228272613955,-0.1192765411519621,0.4029950458966662,0.45716968846583245,0.09914979333237402,-0.11788077503464237,0.1722660546686976,0.13539917029760765,0.16650473414926226,0.4092637917634425,-0.3289633568127935,0.03,0.19,0.1,-0.34272299177765975,0.038751067515553884,0.5045669046339991,0.05277653859539394,0.4949357088788431,0.16529328689849546,0.12
7.0,0.1787561274596513,0.52,0.53,0.58,0.02,0.01,0.48,0.46,0.27,0.46,-0.02098540022678097,1.0276802120112498,0.05,0.19,0.27,0.18,0.62,0.93,0.31,0.08,0.08,0.12,0.09,0.11,0.9,0.92,0.25,0.04,1.0,0.83,0.8,0.16,0.98,0.09,0.15,0.61,0.42,0.35,0.45,0.32,0.51,0.51,0.62,0.48,0.47,0.42,0.42,0.3,0.05,0.02,0.47,0.02175314481604497,0.15947417789865498,0.20937164656254284,0.5592732503755851,0.34,0.2656933696678813,0.11650990079170193,0.21350683879161228,0.1955749593941468,0.4,0.15,0.49,0.46,0.54,0.47,0.65,0.53,0.33,0.43,0.5,0.02,0.62,0.57,0.56,0.6,0.5,0.86,0.37,0.03,0.04,0.05,0.02,0.05,0.05,0.09,0.62,0.56,0.72,0.17458262497716287,-0.2233826833412344,0.317866159678855,1.0,0.73,0.87,0.96,0.11913477474432206,0.15448659180265567,0.9292062881890318,0.36105031415036143,0.10590624830796258,0.24650827786964005,0.515244315032274,0.42454441901481743,0.5981781646228065,0.7893356684899961,0.3506832747467279,0.5695016986050666,0.11627499875570241,-0.1604746448495496,-0.0703237691412683,0.19954890449926238,0.16821216000969738,0.01,0.2,0.04,0.3231846914831801,0.08125644049424503,1.0287642261964414,0.10234269619705938,0.8704132732724666,0.023392690717971593,0.61
